USB2G57718_1:101		
745	-0.77	
746	2.05	
747	2.71	
748	-0.62	
749	1.1	
750	-1.38	
751	2.62	
752	-1.26	
753	-0.73	
754	2.13	
755	0.25	
756	0.2	
757	0.38	
758	-2.42	
759	2.81	
760	0.92	
761	0.13	
762	-0.99	
763	-2.92	
764	-2.73	
765	2.27	
766	1.69	
767	0.71	
768	1.3	
769	-0.23	
770	1.4	
771	1.56	
772	-0	
773	0.86	
774	-1.18	
775	-2.45	
776	-1.21	
777	0.25	
778	-1.41	
779	-2.62	
780	0.89	
781	2.34	
782	-2.3	
783	-1.1	
784	-2.21	
785	-1.2	
786	-2.5	
787	-1.62	
788	-0.68	
789	0.73	
790	-2.96	
791	0.94	
792	-0.86	
793	2.86	
794	-4.57	
795	0.92	
796	0.19	
797	0.96	
798	-0.68	
799	-2.13	
800	-1.98	
801	2.89	
802	3.84	
803	0.01	
804	-1.29	
805	2.06	
806	6.04	
807	-2.24	
808	-0.16	
809	0.04	
810	0.41	
811	0.01	
812	-1.9	
813	1.5	
814	-1.75	
815	-1.12	
816	0.46	
817	0.4	
818	2.33	
819	0.2	
820	0.33	
821	2.85	
822	0.19	
823	-0.22	
824	-0.11	
825	0.25	
826	-0.47	
827	1.9	
828	2.14	
829	-0.3	
830	-1.58	
831	0.18	
832	-2.09	
833	0.19	
834	0.78	
835	-1.48	
836	2.29	
837	-0.11	
838	2.91	
839	-0.5	
840	-3.17	
841	-0.51	
842	-2.83	
843	-2.09	
844	-1.41	
845	0.5	
846	-0.32	
847	-0.15	
848	1.93	
849	2.15	
850	-1.33	
851	-1.21	
852	-3.37	
853	-1.87	
854	-0.57	
855	1.14	
856	1.91	
857	-3.26	
858	-1.24	
859	-2.26	
860	4.92	
861	1.27	
862	1.34	
863	-1.69	
864	0.82	
865	3.82	
866	1.76	
867	-1	
868	-3.22	
869	1.08	
870	-0.1	
871	2.05	
872	-0.24	
873	-0	
874	2.37	
875	0.19	
876	1.83	
877	0.85	
878	-0.79	
879	-0.04	
880	-1.95	
881	3.05	
882	-2.27	
883	0.8	
884	0.86	
885	0.7	
886	9.9	
887	2.43	
888	2.25	
889	-0.13	
890	1.81	
891	1.11	
892	0.96	
893	0.93	
894	-3.57	
895	0.08	
896	-1.2	
897	-3.08	
898	0.62	
899	0.03	
900	0.74	
901	1.02	
902	0.76	
903	-1.9	
904	0.85	
905	-2.29	
906	-1.38	
907	-0.54	
908	2.03	
909	-0.07	
910	1.15	
911	3.78	
912	1.28	
913	-0.69	
914	-1.35	
915	0.85	
916	2.99	
917	0.91	
918	0.59	
919	0.98	
920	-1.02	
921	1.43	
922	1.09	
923	-2.18	
924	-2.26	
925	1.6	
926	3.1	
927	0.39	
928	2.85	
929	-0.72	
930	0.99	
931	0.44	
932	-0.81	
933	2.89	
934	-0.79	
935	-0.83	
936	-1.18	
937	1.74	
938	0.85	
939	0.29	
940	-2.26	
941	-1.7	
942	-0.73	
943	-0.98	
944	-1.99	
945	3.86	
946	-0.46	
947	-0.71	
948	1.19	
949	-0.83	
950	-1.48	
951	0.71	
952	-2.08	
953	-0.94	
954	-2.33	
955	-2.76	
956	1.55	
957	-1.75	
958	1.17	
959	-5.23	
960	-0.07	
961	-1.44	
962	-1.65	
963	-0.15	
964	1.25	
965	-1.16	
966	0.45	
967	-1.14	
968	2.7	
969	-0.47	
970	-2.76	
971	2.12	
972	0.26	
973	0.51	
974	-0.56	
975	0.14	
976	1.83	
977	-0.05	
978	-2.13	
979	-12.93	
980	1.46	
981	-3.24	
982	1.59	
983	-3.17	
984	-2.39	
985	-4.16	
986	-0.56	
987	3.76	
988	5.13	
989	0.24	
990	0.61	
991	-1.72	
992	1.62	
993	-1.2	
994	-5.18	
995	0.71	
996	0.85	
997	-2.74	
998	-0.69	
999	-0.02	
1000	-1.67	
