Wavelength (nm),Intensity (lux),Voltage (mV),Current (uA)
475,,0,72
10,,-59,56
,,-101,49
,,-152,32
,,-203,25
,,-254,20
,,-302,10
,,-350,7
,,-402,5
,,-454,5
,,-500,3
,,-549,0
,,51,91
,,99,111
,,157,138
,,205,149
,,251,173
,,300,183
