Wavelength (nm),Intensity (lux),Voltage (mV),Current (uA)
525,,0,65
10,,-51,52
,,-100,45
,,-136,32
,,-164,29
,,-215,20
,,-255,16
,,-281,12
,,-312,10
,,-411,5
,,-483,3
,,61,85
,,101,96
,,170,120
,,269,147
,,310,158
,,430,191
,,486,200
