Wavelength (nm),Intensity (lux),Voltage (mV),Current (uA)
460,,0,43
10,,-26,40
,,-42,34
,,-81,30
,,-108,27
,,-129,25
,,-165,21
,,-202,18
,,-242,16
,,-300,14
,,-326,7
,,-387,5
,,-492,3
,,-581,1
,,108,60
,,209,80
,,317,94
,,407,107
