Wavelength (nm),Intensity (lux),Voltage (mV),Current (uA)
600,,0,36
10,,-31,32
,,-51,27
,,-80,23
,,-101,20
,,-126,18
,,-140,14
,,-163,10
,,-207,7
,,-219,5
,,-301,3
,,-335,0
,,37,47
,,93,60
,,131,71
,,207,91
,,252,103
,,304,114
