Wavelength (nm),Intensity (lux),Voltage (mV),Current (uA)
440,,0,21
10,,-48,16
,,-94,12
,,-129,10
,,-247,9
,,-303,3
,,-403,1
,,-485,0
,,54,27
,,101,34
,,158,40
,,210,40
,,252,45
,,386,50
,,450,56
,,485,61
